2020-03-23-02-54-36
train.py
--------------------------------------------------------------------------------------------------------------------
batchSize: 12
bottleneckFeatures: 0
brightness: None
contrast: None
cropSize: None
dir_lf: D:\Data\cs-8395-dl
dir_project: ..
encoder: dpn68
epoch: 5
extract_spleen: False
folderData: assignment3\Training
folderPartition: train_test_org
lossWeight: [0.3, 0.7]
loss_weights: None
lr: 1e-05
msg: None
overrideLR: 1
path_kfold: D:\Projects\cs-8395-dl\Assignment_3_segmentation\partition\kfold_5.bin
resize: None
resume_from: None
resume_training: None
to_ram: 0
--------------------------------------------------------------------------------------------------------------------
creating directory to save model at D:\Data\cs-8395-dl\model\2020-03-23-02-54-36
executing fold 1/5
training patients  ['0001' '0002' '0003' '0004' '0005' '0006' '0007' '0008' '0021' '0022'
 '0023' '0024' '0025' '0027' '0029' '0030' '0031' '0032' '0033' '0035'
 '0036' '0037' '0039' '0040']
validation patients  ['0009' '0010' '0026' '0028' '0034' '0038']
train >>> fold 1/5, epoch: 1/5, patient 1/24, mean_loss 0.5772, mean_acc 0.8125
train >>> fold 1/5, epoch: 1/5, patient 2/24, mean_loss 0.5802, mean_acc 0.8073
train >>> fold 1/5, epoch: 1/5, patient 3/24, mean_loss 0.5662, mean_acc 0.8117
train >>> fold 1/5, epoch: 1/5, patient 4/24, mean_loss 0.5732, mean_acc 0.7940
train >>> fold 1/5, epoch: 1/5, patient 5/24, mean_loss 0.5763, mean_acc 0.7841
train >>> fold 1/5, epoch: 1/5, patient 6/24, mean_loss 0.5666, mean_acc 0.7917
train >>> fold 1/5, epoch: 1/5, patient 7/24, mean_loss 0.5581, mean_acc 0.7964
train >>> fold 1/5, epoch: 1/5, patient 8/24, mean_loss 0.5738, mean_acc 0.7758
train >>> fold 1/5, epoch: 1/5, patient 9/24, mean_loss 0.5872, mean_acc 0.7605
train >>> fold 1/5, epoch: 1/5, patient 10/24, mean_loss 0.5874, mean_acc 0.7588
train >>> fold 1/5, epoch: 1/5, patient 11/24, mean_loss 0.5824, mean_acc 0.7610
train >>> fold 1/5, epoch: 1/5, patient 12/24, mean_loss 0.5724, mean_acc 0.7674
train >>> fold 1/5, epoch: 1/5, patient 13/24, mean_loss 0.5678, mean_acc 0.7697
train >>> fold 1/5, epoch: 1/5, patient 14/24, mean_loss 0.5680, mean_acc 0.7691
train >>> fold 1/5, epoch: 1/5, patient 15/24, mean_loss 0.5576, mean_acc 0.7757
train >>> fold 1/5, epoch: 1/5, patient 16/24, mean_loss 0.5547, mean_acc 0.7752
train >>> fold 1/5, epoch: 1/5, patient 17/24, mean_loss 0.5472, mean_acc 0.7790
train >>> fold 1/5, epoch: 1/5, patient 18/24, mean_loss 0.5465, mean_acc 0.7773
train >>> fold 1/5, epoch: 1/5, patient 19/24, mean_loss 0.5388, mean_acc 0.7818
train >>> fold 1/5, epoch: 1/5, patient 20/24, mean_loss 0.5366, mean_acc 0.7812
train >>> fold 1/5, epoch: 1/5, patient 21/24, mean_loss 0.5311, mean_acc 0.7844
train >>> fold 1/5, epoch: 1/5, patient 22/24, mean_loss 0.5292, mean_acc 0.7852
train >>> fold 1/5, epoch: 1/5, patient 23/24, mean_loss 0.5185, mean_acc 0.7914
train >>> fold 1/5, epoch: 1/5, patient 24/24, mean_loss 0.5116, mean_acc 0.7952
valid >>> epoch: 1/5, mean_loss: 0.5544, mean_acc: 0.7315
criteria decreased from inf to 0.5544, saving best model at D:\Data\cs-8395-dl\model\2020-03-23-02-54-36\2020-03-23-02-54-36_1_fold-dpn68_best.pt
train >>> fold 1/5, epoch: 2/5, patient 1/24, mean_loss 0.3861, mean_acc 0.8542
train >>> fold 1/5, epoch: 2/5, patient 2/24, mean_loss 0.4024, mean_acc 0.8284
train >>> fold 1/5, epoch: 2/5, patient 3/24, mean_loss 0.4266, mean_acc 0.8133
train >>> fold 1/5, epoch: 2/5, patient 4/24, mean_loss 0.4136, mean_acc 0.8241
train >>> fold 1/5, epoch: 2/5, patient 5/24, mean_loss 0.3787, mean_acc 0.8459
train >>> fold 1/5, epoch: 2/5, patient 6/24, mean_loss 0.3855, mean_acc 0.8429
train >>> fold 1/5, epoch: 2/5, patient 7/24, mean_loss 0.3869, mean_acc 0.8394
train >>> fold 1/5, epoch: 2/5, patient 8/24, mean_loss 0.3958, mean_acc 0.8308
train >>> fold 1/5, epoch: 2/5, patient 9/24, mean_loss 0.3818, mean_acc 0.8402
train >>> fold 1/5, epoch: 2/5, patient 10/24, mean_loss 0.3882, mean_acc 0.8359
train >>> fold 1/5, epoch: 2/5, patient 11/24, mean_loss 0.3928, mean_acc 0.8324
