2020-03-22-05-45-40
train.py
--------------------------------------------------------------------------------------------------------------------
batchSize: 12
bottleneckFeatures: 1
brightness: None
contrast: None
cropSize: None
dir_lf: D:\Data\cs-8395-dl
dir_project: ..
encoder: resnet34
epoch: 24
extract_spleen: 1
folderData: assignment3\Training
folderPartition: train_test_org
lossWeight: [1.0, 1.0]
loss_weights: None
lr: 0.0001
msg: None
overrideLR: 1
path_kfold: D:\Projects\cs-8395-dl\Assignment_3_segmentation\partition\kfold_5.bin
resize: None
resume_from: None
resume_training: None
to_ram: 0
--------------------------------------------------------------------------------------------------------------------
creating directory to save model at D:\Data\cs-8395-dl\model\2020-03-22-05-45-40
executing fold 1/5
training patients  ['0001' '0002' '0003' '0004' '0005' '0006' '0007' '0008' '0021' '0022'
 '0023' '0024' '0025' '0027' '0029' '0030' '0031' '0032' '0033' '0035'
 '0036' '0037' '0039' '0040']
validation patients  ['0009' '0010' '0026' '0028' '0034' '0038']
train >>> fold 1/5, epoch: 1/24, patient 1/24, mean_loss 1.6230, mean_dice_loss: 0.9655, mean_ce: 0.6575
train >>> fold 1/5, epoch: 1/24, patient 2/24, mean_loss 1.6253, mean_dice_loss: 0.9698, mean_ce: 0.6554
train >>> fold 1/5, epoch: 1/24, patient 3/24, mean_loss 1.6240, mean_dice_loss: 0.9722, mean_ce: 0.6518
train >>> fold 1/5, epoch: 1/24, patient 4/24, mean_loss 1.6144, mean_dice_loss: 0.9675, mean_ce: 0.6469
train >>> fold 1/5, epoch: 1/24, patient 5/24, mean_loss 1.5675, mean_dice_loss: 0.9670, mean_ce: 0.6004
train >>> fold 1/5, epoch: 1/24, patient 6/24, mean_loss 1.5142, mean_dice_loss: 0.9685, mean_ce: 0.5456
train >>> fold 1/5, epoch: 1/24, patient 7/24, mean_loss 1.4587, mean_dice_loss: 0.9728, mean_ce: 0.4859
train >>> fold 1/5, epoch: 1/24, patient 8/24, mean_loss 1.4046, mean_dice_loss: 0.9716, mean_ce: 0.4330
train >>> fold 1/5, epoch: 1/24, patient 9/24, mean_loss 1.3678, mean_dice_loss: 0.9640, mean_ce: 0.4038
train >>> fold 1/5, epoch: 1/24, patient 10/24, mean_loss 1.3367, mean_dice_loss: 0.9579, mean_ce: 0.3788
train >>> fold 1/5, epoch: 1/24, patient 11/24, mean_loss 1.2946, mean_dice_loss: 0.9477, mean_ce: 0.3469
train >>> fold 1/5, epoch: 1/24, patient 12/24, mean_loss 1.2547, mean_dice_loss: 0.9350, mean_ce: 0.3198
train >>> fold 1/5, epoch: 1/24, patient 13/24, mean_loss 1.2357, mean_dice_loss: 0.9321, mean_ce: 0.3036
train >>> fold 1/5, epoch: 1/24, patient 14/24, mean_loss 1.2155, mean_dice_loss: 0.9252, mean_ce: 0.2903
train >>> fold 1/5, epoch: 1/24, patient 15/24, mean_loss 1.1735, mean_dice_loss: 0.9065, mean_ce: 0.2670
train >>> fold 1/5, epoch: 1/24, patient 16/24, mean_loss 1.1545, mean_dice_loss: 0.8981, mean_ce: 0.2564
train >>> fold 1/5, epoch: 1/24, patient 17/24, mean_loss 1.1333, mean_dice_loss: 0.8914, mean_ce: 0.2419
